MDS_1,MDS_2
-1156.732839743298,-3076.1720142167273
40874.412772143354,-123093.38903695477
3511.7167953388453,-34130.592041833865
11807.192424492896,-47788.010993757445
-12428.004142224707,46742.72960764378
-12552.888846822334,37930.34739393366
9326.560754157512,-39643.08960218323
8971.084205289366,-39757.537534192255
-12242.83394767882,36463.67932555888
19326.32957861038,-69519.86827692618
83.11767112951951,-7939.849178783123
18389.541839528483,-54039.50558109858
8501.533919253328,-26240.50992573466
-18211.113167493233,64170.645445860544
7876.844645393486,788.4731761254243
10463.262731742827,-63499.86639518367
13311.314737369596,-39532.26587585672
-26137.258673651384,85542.46032896427
-19197.201488022874,58431.419585381125
-1737.34707036367,1985.9414397112578
-4638.123075249331,4882.883927083758
8978.089872868866,-32389.1975078287
4831.585793607558,-26371.73070672522
-18575.654131889252,55169.01813736801
-8888.677941640955,47651.337754083455
24379.741597770593,-32805.969411994345
7122.748645857791,-25633.114148418765
-237.322414175013,-2887.850401653333
-19245.238075248893,42947.92373473682
12519.732321225189,-41877.9314700587
11305.787714816339,-32496.04871320306
-21835.95080906149,71047.9011729871
19559.117736476554,-81576.34575791686
-25054.730594332003,84581.94200738682
-9172.00686410992,16613.842530202586
4839.3853914041,-16356.745380680779
-55016.30420278933,205630.04768155006
-11353.726951639079,43916.23546937078
-43545.65026175166,174963.66250962822
14141.519238268476,-53321.95895589231
14690.053873495086,-56830.19811226955
9975.801940014631,-40483.81347419747
937.1165105929276,-31792.593978819503
-12829.878335151543,43536.519042631764
-13102.198044315564,39854.21890243298
14098.683997195601,-47041.69557771388
18406.503797920486,-42533.77848202347
-17810.55382822016,57757.64238487274
-13186.740119821467,42412.627167601015
1156.4644319524011,-4440.543485582767
6249.328661337201,-41688.0859503796
-23510.778550614345,71078.95816051654
-26171.066754712112,101108.65181224991
17276.29001715662,-70175.5023136405
-993.8811380841431,18640.29407033886
-14919.313932719642,56213.71805690411
-16785.044328656983,57492.46851248153
-4589.521970184094,17792.89843699228
5194.03067032391,-393.13318044114413
17758.58706800299,-58998.16048606693
5157.7064872066685,-23107.09388857734
14131.561146057142,-55436.194195348005
23267.58531373732,-68849.51491168067
1986.2193265889305,-514.0107763462091
4778.003674619186,-25341.755981734554
-3485.9989270591445,2584.6989606041625
819.1463330159876,-8755.124692473251
8735.421677060633,-34576.25284747185
26962.83962115391,-80177.74388339072
-4159.004059003009,18005.929026717604
14368.574487067866,-59568.43624569296
20188.394408493627,-73029.07976165976
6637.543877312278,-16821.964458358754
-2575.336028582074,5914.10123025721
-38223.641104670496,122742.70471977883
8204.478860854239,-30532.443721457792
4937.558364691016,-26442.868931148176
1221.2484965820831,-19219.196290806958
-23052.923786456537,90520.03021834913
8238.471822087024,-22108.462024630866
-19796.479478650082,-1474.5775932311476
27929.196523049937,-101519.70021724376
12253.78128248818,-55006.748225568284
1123.748695698298,-41899.47219158212
-1298.4858808108397,-5214.616049533739
18536.33431573425,-70293.70906591656
-3573.9783402767653,33547.388799781176
-2649.01622172002,5371.827074675842
13830.265486208575,-52898.73816401237
23392.258505422884,-90706.91966534182
-22503.599746452383,35943.92940286936
-5737.134689373459,-2352.457251189137
28221.15755437435,-91821.47913129974
-529.1528641361407,-3930.8678590145996
30478.078722121245,-92736.3749598732
4395.377817998742,-36998.980095050254
7269.0975958929475,-31517.557197390925
18799.637968020146,-63903.25657401581
11663.603899163654,-47836.8826171949
-11458.865808047754,56280.99735015873
30644.71252011059,-62224.47742804558
-2181.471224002516,2910.0763446303945
-17511.70986793689,40290.58743207821
14386.511182675638,-55877.84537119372
17296.666647207552,-67016.6404912475
4845.057829268717,-21093.02504468526
-17346.892340071583,45488.636309341586
-13875.230009431943,37078.790291427096
-10612.454750785098,19239.283546626746
1907.0648923197998,-6299.272988842893
6900.23251187962,-22534.49515221762
5292.223965299676,-16729.324193774053
938.2007563218322,-8720.992925475597
10036.839741518026,-35221.177125716764
14758.215887678381,-54696.05864127393
-3560.5204334205446,25814.20910717705
10955.869667580533,-27563.685358884013
27361.283361867005,-93028.10817474262
17715.6456906881,-59011.18536279474
15126.123409910668,-54576.44006031011
-1417.4363092381202,-4728.51143963822
-6356.921486283145,29722.565494243117
8667.446778822417,-54628.083201267786
717.1305043197691,-12459.394716655916
8335.199680194697,-34799.819682837995
-11517.956126455945,26333.222361364635
-52169.14742553165,279979.41987881716
4290.46266125929,-16015.2745456563
27668.392905357985,-89891.18005450019
-56346.53762259171,205909.4652736348
-43938.92214104194,50769.175252918765
-54171.135156992066,196136.9023156693
10941.534038325177,-34679.58765650342
233.20677338086335,6164.435031671358
13730.174350937797,-48314.220041141954
-1435.1800064079837,3102.46526640642
11314.349285806733,-40581.80190748124
-3907.490924734977,-10760.393907594304
25317.639979056137,-97467.67139032228
-39328.93654550445,132784.12760593314
11077.612719011962,-43812.9273290302
28051.600982293738,-98782.59517555394
-23852.366550829614,76314.30020334753
-6679.634932043214,13634.92952974835
-46863.28986628135,185046.2306719334
17190.256414231855,-48141.64508152586
-40685.24621694373,147916.89798314963
-1068.047211354772,2263.9476226027605
808.3832937504562,-21344.37912847132
16501.813832389453,-69377.53151728287
4546.093878208164,-18026.946772907937
-5163.49303873136,-7981.899099283936
-3423.3703632746524,8791.392624895612
10590.665216855057,-32942.07262609461
14284.266326839743,-51697.94245303842
5277.680727875045,-5235.886488821703
-31163.454099787003,150905.8626496159
849.9944586333281,-12417.532175378445
-89.65601848292675,-1776.3969995741627
10791.701466044333,-46651.12878516332
14331.79648903393,-40272.1249752512
8881.818343069643,-40834.649079280614
