MDS_1,MDS_2
-11837.08462727696,-1485.871862194669
67835.73445749284,-13728.547336007825
-79284.24960715172,15665.252968498453
-65607.3465628522,8024.111537081519
-65132.380360768555,10136.979208837547
9025.410897127438,-1715.2481546719648
-43668.893269052794,5532.480372145121
-1502.2426369220145,-3456.6301033939235
201728.92789224046,-23440.628980734185
37223.903201459485,1972.234356480399
76887.32861248555,-17261.863719678917
-6223.054837902884,-6761.88345896088
-41675.36200187536,4452.641852022208
-25952.710558360657,1856.2738647137242
137562.15352474837,-21168.546377134135
-17137.332162535044,112.33071350521686
-2357.767511824331,-11770.096214751591
-80210.81285776569,11535.818221867718
-44588.047730474544,5531.296419445388
-27138.451778004957,1550.2134853882446
1166.252930253733,4907.0212582793765
-95070.03902185215,16267.781557582273
-53113.57229241609,4480.359110990728
-93127.32700553241,13664.231829680337
-26112.48107133019,1074.971908654587
-30794.161922300787,3112.420876909269
44829.53347693113,-6136.827595172001
62272.20681193133,-10724.019145226157
-30302.10427103477,1791.9280150647025
37818.05062512126,-10961.13011553533
-1081.429008993888,-1345.3507343208867
-6990.092787589951,-201.63017417664835
-37489.69877774239,5319.4412265817655
-9812.18007703805,1013.0483836792856
48070.072201928684,-10520.550080255056
50317.46760857463,-7065.856068977044
-64770.43400665438,11859.227789273606
77989.66319865515,-13690.905939370614
-15151.652891240163,-197.84156269303458
22578.817888827343,-5317.751922632884
-55282.34695056631,8390.039094903743
-51681.24205157093,1565.2076496634056
-75353.86362614675,10317.162544579765
40690.848049234286,-9137.673434253831
-39790.47340455012,4196.994697002798
-65553.63245797412,8249.99600814518
-57986.93426258403,10107.354858937231
190023.72512217212,-24243.559622771405
9567.950995551484,1009.4026033839212
53613.82974182774,-7971.970201702931
-54891.20141695191,10273.89685054204
-99837.90140711796,20066.22268317261
-70730.72262542266,10315.536022064736
87447.75824077048,-14732.62256287215
73077.3367263351,-12218.02607302917
137332.57110798682,-24549.44727916904
-18135.57430556501,2688.8133369617963
229757.1227941581,-29857.660069378937
38591.76907132933,-6752.579328228074
-77222.49205457944,10253.61884591329
-29426.144554497143,-187.19233630171232
-52939.10820718129,7125.411557137886
8853.643322423313,-2587.8585860173685
142928.77701984387,-23181.680232994
2044.5606479372673,-3565.7949924367786
46235.10950962981,-11200.723239117808
-52310.392159422394,4462.765317065365
31313.94744934024,-26358.441274265824
57432.93898858662,-9299.774382504951
-17809.603165517783,1780.1080232003803
3232.8813386734832,-125.6554545762838
61346.03420469473,-10247.261522807648
29442.87287432926,-6678.532798031807
-7842.513487921618,3269.7919216313776
320666.123054756,-12386.26744883776
-79746.04303174399,13547.728123909623
-5437.469802857014,-8000.905150523618
18328.96953526154,-6882.305933632556
-60157.93670219304,9481.978831833781
18818.235089574526,-3707.4731137462363
-53564.761606293614,7013.35414221688
292424.00821214356,-34379.965323027536
-8048.815963186731,-372.3010965793541
-45646.282952283334,5092.67577811561
-27836.780916957923,947.9226878386227
102836.82210970263,-23079.205887604363
132410.6820590845,-21658.67280072393
2410.9129846084406,-4302.681710875392
10561.494858126123,-4274.645621203825
-49985.93763899966,11425.547942871968
-53625.16482450778,6745.735059593671
-31612.72576595332,8371.251105102207
129195.68490028134,-21961.04650591998
52047.272228437716,-22001.270953739157
-76458.16740587742,9987.833966292706
92457.23495128889,-17521.89927017775
-40645.25354647387,4976.093331343062
-9490.3623384236,81.24687332700063
-68328.9244370766,9581.148632707775
-32538.688656994844,-450.5521858297276
-71025.22226479545,6714.754615640129
-318.42202725342145,-77.98450082764253
-35909.71113309443,8670.703940828977
-39709.75986086806,3811.9671081347537
95207.9877239158,-13863.957699528026
-35819.2738729502,3498.3696291127867
-82254.45707604567,11599.507004218092
4856.549602119981,-2182.78331908747
70376.90327068102,-14770.282640095402
-24030.714979529494,6236.836902317201
-18910.2150613576,2626.5821605737415
-46169.76352184253,5388.061704343474
28219.07412026383,-7785.970551367197
-72691.56729834486,13023.09672148954
129502.48660735128,-17834.082313721643
-14942.980577505372,-5527.577856038568
23264.87117233682,-6549.349034126996
18306.40887866285,-6461.999598745628
-979.2248754647349,-320.90427552475387
-82357.64749583612,15652.79039603575
203987.56146415562,-23953.98272510509
-69447.96478003387,4621.223434393672
107486.16817393781,-19236.269133246566
-73790.53808247854,15125.140120085083
-55390.82771646094,7898.9758578435785
10087.411693886686,-9702.115786839357
-32797.33537101675,3291.611902840939
220534.33580539178,-27162.55459599322
-86477.90873902118,9108.54089539313
-52354.925041204384,6300.32082797305
34545.863694057916,-9346.721360170934
-91301.5844971283,10585.455704617949
4099.361034467324,-3460.956584545487
13099.451771623748,-4315.381317314304
135606.78739022487,-20574.26539409997
-67035.22619282264,10792.28502412235
80088.19738772232,-16269.705835582978
-70456.06549488864,6953.573148550415
-100617.64495360244,16993.040641825904
-59842.577729694945,10983.380306067418
23352.991219913285,-6646.877145219972
59615.92395393477,-11325.134940413196
-43578.38765189506,5537.436259238918
-40271.22355588634,6669.062840384484
